Durchflussarmatur,Artikelnummer,Artikelbezeichnung,Menge Statisch,Menge Formel,ET-HVB,ET-Sonden,DFM-HVB
Plastic Flowmeters,,,,,,,
K-DFM 2-12 ,2001151,Durchflussarmatur Kunststoff - Durchflussmesser 2-12 l/min - Ohne Einlegeteil,,=sondenanzahl,,,
K-DFM 2-12 ,2001167,Absperrventil - KST - ZUB - KH32 - Überwurfmutter - SKS,,=sondenanzahl*2,,,
K-DFM 2-12 ,2001179,GN Einschweißteil - DA 63 mm,,=sondenanzahl,DA 63,,
K-DFM 2-12 ,2001177,GN Einschweißteil - DA 40 mm,,=sondenanzahl,,DA 25|DA 40|DA 50,
K-DFM 2-12 ,2001178,GN Einschweißteil - DA 32 mm,,=sondenanzahl,DA 75|DA 90|DA 110|DA 125|DA 140|DA 160|DA 180|DA 200|DA 225|DA 250|DA 280|DA 315|DA 355,,
K-DFM 2-12 ,8000415,Heizdorn-Reduktion DA 50 / 32,,=sondenanzahl,,DA 50,
K-DFM 2-12 ,8000411,Heizdorn-Reduktion DA 32 / 25,,=sondenanzahl,,DA 25,
K-DFM 8-28,2001150,Durchflussarmatur Kunststoff - Durchflussmesser 8-28 l/min - Ohne Einlegeteil,,=sondenanzahl,,,
K-DFM 8-28,2001167,Absperrventil - KST - ZUB - KH32 - Überwurfmutter - SKS,,=sondenanzahl*2,,,
K-DFM 8-28,2001179,GN Einschweißteil - DA 63 mm,,=sondenanzahl,DA 63,,
K-DFM 8-28,2001177,GN Einschweißteil - DA 40 mm,,=sondenanzahl,,DA 25|DA 40|DA 50,
K-DFM 8-28,2001178,GN Einschweißteil - DA 32 mm,,=sondenanzahl,DA 75|DA 90|DA 110|DA 125|DA 140|DA 160|DA 180|DA 200|DA 225|DA 250|DA 280|DA 315|DA 355,DA 32,
K-DFM 8-28,8000415,Heizdorn-Reduktion DA 50 / 32,,=sondenanzahl,,DA 50,
K-DFM 8-28,8000411,Heizdorn-Reduktion DA 32 / 25,,=sondenanzahl,,DA 25,
K-DFM 5-42,2001148,Durchflussarmatur Kunststoff - Durchflussmesser 5-42 l/min - Ohne Einlegeteil,,=sondenanzahl,,,
K-DFM 5-42,2001167,Absperrventil - KST - ZUB - KH32 - Überwurfmutter - SKS,,=sondenanzahl*2,,,
K-DFM 5-42,2001179,GN Einschweißteil - DA 63 mm,,=sondenanzahl,DA 63,,
K-DFM 5-42,2001177,GN Einschweißteil - DA 40 mm,,=sondenanzahl,,DA 25|DA 40|DA 50,
K-DFM 5-42,2001178,GN Einschweißteil - DA 32 mm,,=sondenanzahl,DA 75|DA 90|DA 110|DA 125|DA 140|DA 160|DA 180|DA 200|DA 225|DA 250|DA 280|DA 315|DA 355,DA 32,
K-DFM 5-42,8000415,Heizdorn-Reduktion DA 50 / 32,,=sondenanzahl,,DA 50,
K-DFM 5-42,8000411,Heizdorn-Reduktion DA 32 / 25,,=sondenanzahl,,DA 25,
K-DFM 35-70,2001152,Durchflussarmatur Kunststoff - Durchflussmesser 35-70 l/min - Ohne Einlegeteil,,=sondenanzahl,,,
K-DFM 35-70,2001167,Absperrventil - KST - ZUB - KH32 - Überwurfmutter - SKS,,=sondenanzahl*2,,,
K-DFM 35-70,2001179,GN Einschweißteil - DA 63 mm,,=sondenanzahl,DA 63,,
K-DFM 35-70,2001177,GN Einschweißteil - DA 40 mm,,=sondenanzahl,,DA 25|DA 40|DA 50,
