Artikel | Xentral,,,,,
Nummer,Artikel,Lagerbestand,EK netto,VK netto,Hersteller
2100005,GN X - ZUB - Verteiler - Stütze - Oben - 63,,10.30,0.00,
2001869,GN X - ZUB - Verteiler - Stütze - Oben - 75,,10.35,0.00,
2001868,GN X - ZUB - Verteiler - Stütze - Unten - 75,,10.05,0.00,
2001867,GN X - ZUB - Verteiler - Stütze - Unten - 63,,10.00,0.00,
2001860,GN X - ZUB - Verteiler - Stütze - Oben - 180,6,10.90,0.00,
2001859,GN X - ZUB - Verteiler - Stütze - Oben - 160,0,10.70,0.00,
2001858,GN X - ZUB - Verteiler - Stütze - Oben - 140,0,10.60,0.00,
2001857,GN X - ZUB - Verteiler - Stütze - Oben - 110,0,10.45,0.00,
2001856,GN X - ZUB - Verteiler - Stütze - Oben - 90,0,10.40,0.00,
2001853,GN X - ZUB - Verteiler - Stütze - Unten - 200,0,10.80,0.00,
2001852,GN X - ZUB - Verteiler - Stütze - Unten - 180,6,10.60,0.00,
2001851,GN X - ZUB - Verteiler - Stütze - Unten - 160,0,10.40,0.00,
2001850,GN X - ZUB - Verteiler - Stütze - Unten - 140,0,10.30,0.00,
2001849,GN X - ZUB - Verteiler - Stütze - Unten - 110,0,10.15,0.00,
2001848,GN X - ZUB - Verteiler - Stütze - Unten - 90,0,10.10,0.00,
2001838,GN X - ZUB - Verteiler - Stütze - Unten - 125,0,10.20,0.00,
2001837,GN X - ZUB - Verteiler - Stütze - Oben - 125,0,10.50,0.00,
2001835,GN X - ZUB - Verteiler - Stütze - Oben - 200,0,11.10,0.00,

