Sondenabstand,Anschlussart,Zuschlag_links in mm,Zuschlag_rechts in mm,Hinweis
75,einseitig,100,100,
80,einseitig,100,100,
90,einseitig,100,100,
100,einseitig,100,100,Standard
115,einseitig,100,100,
125,einseitig,100,100,
130,einseitig,100,100,
150,einseitig,100,100,
200,einseitig,100,100,
250,einseitig,100,100,
300,einseitig,100,100,
75,beidseitig,100,100,
80,beidseitig,100,100,
90,beidseitig,100,100,
100,beidseitig,100,100,Standard
115,beidseitig,100,100,
125,beidseitig,100,100,
130,beidseitig,100,100,
150,beidseitig,100,100,
200,beidseitig,100,100,
250,beidseitig,100,100,
300,beidseitig,100,100,
