Durchmesser HVB,Durchmesser WP,Artikelnummer,Artikelbezeichnung,Menge Statisch
63,40,2000627,Stumpfschweiß-Reduktion DA 63 / 40 kurz,2
63,50,2000629,Stumpfschweiß-Reduktion DA 63 / 50 kurz,2
75,40,2000631,Stumpfschweiß-Reduktion DA 75 / 40 kurz,2
75,50,2000633,Stumpfschweiß-Reduktion DA 75 / 50 kurz,2
75,63,2000636,Stumpfschweiß-Reduktion DA 75 / 63 kurz,2
90,50,2000637,Stumpfschweiß-Reduktion DA 90 / 50 kurz,2
90,63,2000639,Stumpfschweiß-Reduktion DA 90 / 63 kurz,2
90,75,2000641,Stumpfschweiß-Reduktion DA 90 / 75 kurz,2
110,50,2000572,Stumpfschweiß-Reduktion DA 110 / 50 kurz,2
110,63,2000573,Stumpfschweiß-Reduktion DA 110 / 63 kurz,2
110,75,2000575,Stumpfschweiß-Reduktion DA 110 / 75 kurz,2
110,90,2000577,Stumpfschweiß-Reduktion DA 110 / 90 kurz,2
125,63,2000581,Stumpfschweiß-Reduktion DA 125 / 63 kurz,2
125,75,2000583,Stumpfschweiß-Reduktion DA 125 / 75 kurz,2
125,90,2000585,Stumpfschweiß-Reduktion DA 125 / 90 kurz,2
125,110,2000579,Stumpfschweiß-Reduktion DA 125 / 110 kurz,2
140,90,2000591,Stumpfschweiß-Reduktion DA 140 / 90 kurz,2
140,125,2000969,Stumpfschweiß-Reduktion DA 140 / 125 kurz,2
160,110,2000593,Stumpfschweiß-Reduktion DA 160 / 110 kurz,2
160,140,2000597,Stumpfschweiß-Reduktion DA 160 / 140 kurz,2
180,90,2000607,Stumpfschweiß-Reduktion DA 180 / 90 kurz,2
180,110,2000601,Stumpfschweiß-Reduktion DA 180 / 110 kurz,2
180,125,2000603,Stumpfschweiß-Reduktion DA 180 / 125 kurz,2
180,140,2000604,Stumpfschweiß-Reduktion DA 180 / 140 kurz,2
180,160,2000605,Stumpfschweiß-Reduktion DA 180 / 160 kurz,2
200,140,2001587,Stumpfschweiß-Reduktion DA 200 / 140 kurz,2
200,160,2001273,Stumpfschweiß-Reduktion DA 200 / 160 kurz,2
250,180,2001606,Stumpfschweiß-Reduktion DA 250 / 180 kurz,2
