nummer;name_de;menge;stuecklistevonartikel
2000782;GN R Kompakt;1;1000089-031
2001433;Absperrventil Kunststoff - Kugelhahn DA 32 - Standard Verteiler Luke;5;1000089-031
2001148;Durchflussarmatur Kunststoff - Durchflussmesser 5-42 l/min - Ohne Einlegeteil;5;1000089-031
2001178;GN Einschweißteil - DA 32 mm;10;1000089-031
2001167;Absperrventil Kunststoff - Kugelhahn DA 32 mm - Überwurfmutter - lose;10;1000089-031
2000488;PE 100-RC DA 32;2;1000089-031
2000552;Sondenverschlusskappe DA 32;10;1000089-031
2000554;Sondenverschlusskappe DA 50;2;1000089-031
2001576;Stumpfschweiß-Endkappe DA 63 - kurz;1;1000089-031
2000491;PE 100-RC DA 63;2;1000089-031
2000629;Stumpfschweiß-Reduktion DA 63 / 50 kurz;2;1000089-031
2000569;Stumpfschweiß-Endkappe DA 63;1;1000089-031
2000012;"Absperrventil Kunststoff - Kugelhahn DA 32 mm PE kurz / AG 1""";2;1000089-031
2000718;"Verschluss - Endkappe 1 IG""";2;1000089-031
