hvb_durchmesser,position,artikelnummer,artikelbezeichnung
63,Oben,2001995,GN X - ZUB - Verteiler - Stütze - Oben
63,Unter,2001867,GN X - ZUB - Verteiler - Stütze - Unter
75,Oben,2001869,GN X - ZUB - Verteiler - Stütze - Oben
75,Unter,2001868,GN X - ZUB - Verteiler - Stütze - Unter
90,Oben,2001856,GN X - ZUB - Verteiler - Stütze - Oben
90,Unter,2001848,GN X - ZUB - Verteiler - Stütze - Unter
110,Oben,2001857,GN X - ZUB - Verteiler - Stütze - Oben
110,Unter,2001849,GN X - ZUB - Verteiler - Stütze - Unter
125,Oben,2001837,GN X - ZUB - Verteiler - Stütze - Oben
125,Unter,2001838,GN X - ZUB - Verteiler - Stütze - Unter
140,Oben,2001858,GN X - ZUB - Verteiler - Stütze - Oben
140,Unter,2001850,GN X - ZUB - Verteiler - Stütze - Unter
160,Oben,2001859,GN X - ZUB - Verteiler - Stütze - Oben
160,Unter,2001851,GN X - ZUB - Verteiler - Stütze - Unter
180,Oben,2001860,GN X - ZUB - Verteiler - Stütze - Oben
180,Unter,2001852,GN X - ZUB - Verteiler - Stütze - Unter
200,Oben,2001835,GN X - ZUB - Verteiler - Stütze - Oben
200,Unter,2001853,GN X - ZUB - Verteiler - Stütze - Unter

