HVB,Artikelnummer,Artikelbezeichnung,Menge Statisch
63,2001576,Stumpfschweiß-Endkappe DA 63 - kurz,1
63,2000569,Stumpfschweiß-Endkappe DA 63,1
75,2000570,Stumpfschweiß-Endkappe DA 75,2
90,2000571,Stumpfschweiß-Endkappe DA 90,2
110,2000558,Stumpfschweiß-Endkappe DA 110,2
125,2000559,Stumpfschweiß-Endkappe DA 125,2
140,2000560,Stumpfschweiß-Endkappe DA 140,2
160,2000561,Stumpfschweiß-Endkappe DA 160,2
180,2000562,Stumpfschweiß-Endkappe DA 180,2
200,2000563,Stumpfschweiß-Endkappe DA 200,2
225,2000564,Stumpfschweiß-Endkappe DA 225,2
250,2000565,Stumpfschweiß-Endkappe DA 250,2
280,2001220,Stumpfschweiß-Endkappe DA 280,2
355,2001608,Stumpfschweiß-Endkappe DA 355,2
